id,y_true,y_true_label,score_Promoter,score_Enhancer,score_Non_CRE
Not Cis_11048,0,Promoter,0.11249243468046188,0.8765326142311096,0.010974938049912453
Not Cis_13715,0,Promoter,0.9745551347732544,0.022373057901859283,0.0030718655325472355
Not Cis_01497,0,Promoter,0.974408745765686,0.022617977112531662,0.002973266877233982
Not Cis_00424,0,Promoter,0.9616672396659851,0.03153771534562111,0.00679505942389369
Not Cis_04103,0,Promoter,0.6213270425796509,0.29879459738731384,0.07987838983535767
Not Cis_13937,0,Promoter,0.042688045650720596,0.030307145789265633,0.9270047545433044
Not Cis_13480,0,Promoter,0.9685472249984741,0.026708075776696205,0.004744700156152248
Not Cis_12035,0,Promoter,0.9788509607315063,0.019734298810362816,0.0014147436013445258
Not Cis_07079,0,Promoter,0.9067057967185974,0.07936976850032806,0.013924363069236279
Not Cis_13479,0,Promoter,0.03166404366493225,0.03579086810350418,0.9325451254844666
Not Cis_09799,0,Promoter,0.9696762561798096,0.02818605676293373,0.002137641655281186
Not Cis_01318,0,Promoter,0.9771321415901184,0.02029051072895527,0.002577308565378189
Not Cis_07173,0,Promoter,0.9652115106582642,0.03164414316415787,0.0031442621257156134
Not Cis_08091,0,Promoter,0.9815695285797119,0.01679036021232605,0.0016401278553530574
Not Cis_08848,0,Promoter,0.13339848816394806,0.07119102030992508,0.7954105734825134
Not Cis_08200,0,Promoter,0.9706741571426392,0.02573755569756031,0.0035883206874132156
Not Cis_04461,0,Promoter,0.9757835268974304,0.020910626277327538,0.0033058924600481987
Not Cis_06595,0,Promoter,0.06332661211490631,0.9339268803596497,0.0027464337181299925
Not Cis_11465,0,Promoter,0.9820261597633362,0.01633879728615284,0.0016350627411156893
Not Cis_04983,0,Promoter,0.21313965320587158,0.7831668257713318,0.003693477949127555
Not Cis_11284,0,Promoter,0.9744576811790466,0.022130200639367104,0.0034120697528123856
Not Cis_07680,0,Promoter,0.9727756381034851,0.024212295189499855,0.0030120788142085075
Not Cis_02038,0,Promoter,0.9801163673400879,0.017629774287343025,0.002253846265375614
Not Cis_07196,0,Promoter,0.9654314517974854,0.03043116070330143,0.004137367010116577
Not Cis_04729,0,Promoter,0.9719882011413574,0.02387978509068489,0.004132058471441269
Not Cis_09326,0,Promoter,0.9564341902732849,0.040578655898571014,0.0029870588332414627
Not Cis_12271,0,Promoter,0.09534148126840591,0.05314544588327408,0.8515130877494812
Not Cis_13602,0,Promoter,0.5631937980651855,0.34898841381073,0.08781784027814865
Not Cis_05040,0,Promoter,0.9670346975326538,0.029335200786590576,0.003630103077739477
Not Cis_02719,0,Promoter,0.033490799367427826,0.785187840461731,0.18132133781909943
Not Cis_00978,0,Promoter,0.8435444235801697,0.1374647617340088,0.018990838900208473
Not Cis_13894,0,Promoter,0.8594266176223755,0.13272687792778015,0.007846420630812645
Not Cis_02331,0,Promoter,0.11462671309709549,0.06089877709746361,0.824474573135376
Not Cis_04353,0,Promoter,0.9684699773788452,0.027291828766465187,0.004238156136125326
Not Cis_02442,0,Promoter,0.9540315866470337,0.043348778039216995,0.0026196616236120462
Not Cis_10611,0,Promoter,0.04569746553897858,0.031011244282126427,0.9232913851737976
Not Cis_03684,0,Promoter,0.9769555330276489,0.020664498209953308,0.0023799636401236057
